Date,Close_S,Open_S,High_S,Low_S,Close_B,Open_B,High_B,Low_B
2022-01-03,4796.56,4778.14,4796.64,4758.17,46430.2,47293.9,47556.0,45704.0
2022-01-04,4793.54,4804.51,4818.62,4774.27,45837.3,46435.7,47505.4,45602.1
2022-01-05,4700.58,4787.99,4797.7,4699.44,43425.9,45833.1,47019.4,42535.1
2022-01-06,4696.05,4693.39,4725.01,4671.26,43097.5,43431.6,43772.3,42481.1
2022-01-07,4677.03,4697.66,4707.95,4662.74,41546.7,43097.9,43127.7,40810.0
2022-01-10,4670.29,4655.34,4673.02,4582.24,41832.2,41848.9,42243.8,39697.0
2022-01-11,4713.07,4669.14,4714.13,4638.27,42733.2,41829.1,43090.2,41287.6
2022-01-12,4726.35,4728.59,4748.83,4706.71,43901.0,42735.0,44243.6,42476.7
2022-01-13,4659.03,4733.56,4744.13,4650.29,42560.0,43900.0,44404.7,42337.5
2022-01-14,4662.85,4637.99,4665.13,4614.75,43073.3,42562.2,43435.1,41848.7
2022-01-18,4577.11,4632.24,4632.24,4568.7,42364.6,42209.9,42674.2,41300.7
2022-01-19,4532.76,4588.03,4611.55,4530.2,41677.8,42365.3,42558.0,41160.9
2022-01-20,4482.73,4547.35,4602.11,4477.95,40715.9,41683.6,43487.1,40568.3
2022-01-21,4397.94,4471.38,4494.52,4395.34,36475.5,40698.1,41104.6,35503.9
2022-01-24,4410.13,4356.32,4417.35,4222.62,36686.3,36268.6,37424.0,32985.6
2022-01-25,4356.45,4366.64,4411.01,4287.11,36950.6,36691.3,37501.8,35729.3
2022-01-26,4349.93,4408.43,4453.23,4304.8,36800.4,36962.3,38862.6,36280.0
2022-01-27,4326.51,4380.58,4428.74,4309.5,37164.3,36800.1,37215.4,35543.2
2022-01-28,4431.85,4336.19,4432.72,4292.46,37745.1,37195.6,37995.9,36176.5
2022-01-31,4515.55,4431.79,4516.89,4414.02,38498.6,37923.8,38701.4,36672.8
2022-02-01,4546.54,4519.57,4550.49,4483.53,38709.7,38475.6,39230.0,38037.9
2022-02-02,4589.38,4566.39,4595.31,4544.32,36890.2,38711.2,38853.8,36682.3
2022-02-03,4477.44,4535.41,4542.88,4470.39,37287.8,36890.2,37304.3,36297.3
2022-02-04,4500.53,4482.79,4539.66,4451.5,41567.6,37287.8,41689.0,37041.1
2022-02-07,4483.87,4505.75,4521.86,4471.47,43833.9,42385.2,44468.3,41695.4
2022-02-08,4521.54,4480.02,4531.32,4465.4,44038.2,43833.9,45399.8,42705.0
2022-02-09,4587.18,4547.0,4590.03,4547.0,44388.9,44038.2,44800.4,43163.0
2022-02-10,4504.08,4553.24,4588.92,4484.31,43521.0,44388.9,45755.2,43242.5
2022-02-11,4418.64,4506.27,4526.33,4401.41,42388.4,43519.3,43915.1,42023.4
2022-02-14,4401.67,4412.61,4426.22,4364.84,42550.3,42061.1,42799.7,41591.3
2022-02-15,4471.07,4429.28,4472.77,4429.28,44544.4,42550.3,44722.6,42460.1
2022-02-16,4475.01,4455.75,4489.55,4429.68,43883.6,44540.9,44552.9,43377.6
2022-02-17,4380.26,4456.06,4456.06,4373.81,40552.8,43885.5,44167.1,40103.8
2022-02-18,4348.87,4384.57,4394.6,4327.22,40000.1,40532.5,40935.5,39505.0
2022-02-22,4304.76,4332.74,4362.12,4267.11,38248.2,37018.3,38414.9,36399.6
2022-02-23,4225.5,4324.93,4341.51,4221.51,37224.6,38248.2,39194.5,37099.5
2022-02-24,4288.7,4155.77,4294.73,4114.65,38339.2,37250.2,39351.6,34357.4
2022-02-25,4384.65,4298.38,4385.34,4286.83,39209.6,38339.2,39683.7,38042.6
2022-02-28,4373.94,4354.17,4388.84,4315.12,43188.2,37707.2,43977.8,37458.9
2022-03-01,4306.26,4363.14,4378.45,4279.54,44420.3,43187.2,44900.5,42876.6
2022-03-02,4386.54,4322.56,4401.48,4322.56,43912.8,44420.3,45294.2,43361.3
2022-03-03,4363.49,4401.31,4416.78,4345.56,42463.0,43912.8,44077.2,41840.8
2022-03-04,4328.87,4342.12,4342.12,4284.98,39142.7,42463.0,42848.7,38594.9
2022-03-07,4201.09,4327.01,4327.01,4199.85,38024.8,38420.6,39532.0,37182.1
2022-03-08,4170.7,4202.66,4276.94,4157.87,38744.8,38020.6,39351.5,37886.6
2022-03-09,4277.88,4223.1,4299.4,4223.1,41929.0,38731.5,42538.5,38663.3
2022-03-10,4259.52,4252.55,4268.28,4209.8,39416.3,41933.9,42029.1,38603.5
2022-03-11,4204.31,4279.5,4291.01,4200.49,38730.2,39422.5,40177.0,38236.4
2022-03-14,4173.11,4202.75,4247.57,4161.72,39671.1,37789.5,39914.3,37613.6
2022-03-15,4262.45,4188.82,4271.05,4187.9,39285.7,39673.0,39854.7,38220.9
2022-03-16,4357.86,4288.14,4358.9,4251.99,41118.7,39282.5,41701.6,38953.2
2022-03-17,4411.67,4345.11,4412.67,4335.65,40914.8,41118.7,41406.0,40557.8
2022-03-18,4463.12,4407.34,4465.4,4390.57,41767.8,40914.6,42308.4,40234.8
2022-03-21,4461.18,4462.4,4481.75,4424.3,41022.0,41282.0,41532.0,40530.0
2022-03-22,4511.61,4469.1,4522.0,4469.1,42373.0,41022.0,43327.9,40893.0
2022-03-23,4456.24,4493.1,4501.07,4455.81,42912.0,42373.0,43027.0,41795.0
2022-03-24,4520.16,4469.98,4520.58,4465.17,44013.0,42911.0,44251.0,42658.0
2022-03-25,4543.06,4522.91,4546.03,4501.07,44331.0,44013.0,45112.0,43622.0
2022-03-28,4575.52,4541.09,4575.65,4517.69,47105.0,46859.0,48199.0,46672.0
2022-03-29,4631.6,4602.86,4637.3,4589.66,47449.0,47126.0,48127.0,47029.0
2022-03-30,4602.45,4624.2,4627.77,4581.32,47075.0,47449.0,47714.0,46601.0
2022-03-31,4530.41,4599.02,4603.07,4530.41,45525.0,47071.0,47624.0,45228.0
2022-04-01,4545.86,4540.32,4548.7,4507.57,46297.0,45529.0,46728.0,44261.0
2022-04-04,4582.64,4547.97,4583.5,4539.21,46629.0,46407.0,46899.0,45152.0
2022-04-05,4525.12,4572.45,4593.45,4514.17,45506.0,46614.0,47201.0,45388.0
2022-04-06,4481.15,4494.17,4503.94,4450.04,43173.0,45494.0,45519.0,43122.0
2022-04-07,4500.21,4474.65,4521.16,4450.3,43448.0,43166.0,43893.0,42747.0
2022-04-08,4488.28,4494.15,4520.41,4474.6,42275.0,43450.0,43979.0,42113.0
2022-04-11,4412.53,4462.64,4464.35,4408.38,39497.0,42144.0,42418.0,39202.0
2022-04-12,4397.45,4437.59,4471.0,4381.34,40078.0,39507.0,40678.0,39265.0
2022-04-13,4446.59,4394.3,4453.92,4392.7,41133.0,40072.0,41515.0,39581.0
2022-04-14,4392.59,4449.12,4460.46,4390.77,39936.0,41133.0,41494.0,39585.0
2022-04-18,4391.69,4385.63,4410.31,4370.3,40803.0,39700.0,41095.0,38577.0
2022-04-19,4462.21,4390.63,4471.03,4390.63,41503.0,40809.0,41746.0,40585.0
2022-04-20,4459.45,4472.26,4488.29,4448.76,41368.0,41499.0,42203.0,40915.0
2022-04-21,4393.66,4489.17,4512.94,4384.47,40482.0,41370.0,42969.0,39793.0
2022-04-22,4271.78,4385.83,4385.83,4267.62,39709.0,40487.0,40792.0,39200.0
2022-04-25,4296.12,4255.34,4299.02,4200.82,40427.0,39464.0,40599.0,38233.0
2022-04-26,4175.2,4278.14,4278.14,4175.04,38113.0,40443.0,40770.0,37708.0
